               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 105,            0.022226,           0.0060289,           0.0031045,             0.91723,             0.73853,              0.8102,             0.48785,            0.026731,            0.003801,           0.0026477,            0.007426,            0.007426,            0.007426
                 106,            0.022109,            0.005971,           0.0031197,              0.9162,              0.7388,             0.80964,             0.48763,            0.026751,           0.0038079,           0.0026425,           0.0074013,           0.0074013,           0.0074013
                 107,            0.022008,           0.0060296,           0.0030755,             0.91417,             0.73982,             0.80939,             0.48757,            0.026743,            0.003807,           0.0026452,           0.0073765,           0.0073765,           0.0073765
                 108,            0.022114,           0.0059935,           0.0030852,             0.91223,             0.74088,             0.80914,             0.48754,            0.026749,           0.0038059,           0.0026423,           0.0073517,           0.0073517,           0.0073517
                 109,            0.022035,           0.0060519,           0.0030954,             0.91191,             0.74088,             0.80918,             0.48762,            0.026749,           0.0038088,           0.0026285,            0.007327,            0.007327,            0.007327
                 110,            0.022029,           0.0060222,           0.0031071,             0.91085,             0.74043,              0.8088,             0.48769,            0.026755,           0.0038113,           0.0026242,           0.0073023,           0.0073023,           0.0073023
                 111,            0.021937,           0.0059847,           0.0030798,             0.91218,             0.73934,             0.80835,             0.48769,            0.026765,           0.0038185,           0.0026183,           0.0072775,           0.0072775,           0.0072775
                 112,            0.022007,           0.0059765,           0.0030735,             0.91383,             0.73737,             0.80782,             0.48752,            0.026772,           0.0038262,           0.0026097,           0.0072527,           0.0072527,           0.0072527
                 113,            0.021911,            0.005987,           0.0030883,             0.91517,             0.73643,              0.8079,             0.48752,            0.026748,           0.0038313,            0.002597,            0.007228,            0.007228,            0.007228
                 114,            0.021963,            0.005961,           0.0030975,             0.91593,              0.7354,             0.80758,             0.48745,             0.02674,           0.0038364,           0.0025876,           0.0072033,           0.0072033,           0.0072033
                 115,            0.021887,           0.0059418,           0.0030635,              0.9158,             0.73452,             0.80712,             0.48745,            0.026738,           0.0038412,           0.0025863,           0.0071785,           0.0071785,           0.0071785
